Name;Category;Description;Recommendation;Impact
Ели рыбу;Питание;Рыба — источник омега-3 жирных кислот, витамина D и белка. Регулярное потребление улучшает работу сердца, мозга и снижает воспалительные процессы. Особенно полезны жирные сорта рыбы.;Старайся есть рыбу минимум 2 раза в неделю. Отдавай предпочтение запечённой или приготовленной на пару рыбе, избегай частой жарки.;5
Ели морепродукты;Питание;Морепродукты богаты белком, йодом, селеном и цинком. Они полезны для щитовидной железы, иммунитета и обмена веществ. Большинство из них малокалорийны и легко усваиваются.;Добавляй в рацион мидии, креветки, кальмары и другие морепродукты 1–2 раза в неделю. Обрати внимание на свежесть и избегай блюд с обилием масла или панировки.;4
Ели фрукты;Питание;Фрукты содержат витамины, антиоксиданты и клетчатку. Они поддерживают иммунитет, здоровье кожи и пищеварение. Регулярное употребление фруктов снижает риск сердечно-сосудистых и онкологических заболеваний.;Ешь 2–3 порции фруктов в день. Отдавай предпочтение сезонным и местным сортам. Избегай фруктов в виде соков или с добавленным сахаром.;4
Ели овощи;Питание;Овощи богаты клетчаткой, витаминами и минералами. Они улучшают пищеварение, насыщают и способствуют контролю веса. Разноцветные овощи обеспечивают организм различными защитными веществами.;Добавляй овощи в каждый приём пищи. Стремись к 3–5 порциям в день, включая как свежие, так и приготовленные овощи.;5
Пили ≥ 1.5л чистой воды;Питание;Адекватная гидратация поддерживает обмен веществ, концентрацию внимания и здоровье кожи. Недостаток воды может вызывать усталость, головные боли и ухудшение пищеварения.;Пей в течение дня небольшими порциями. Ориентируйся на прозрачную мочу как признак нормального водного баланса. Избегай избыточного употребления сладких напитков.;5
Употребляли добавленный сахар;Питание;Избыточное потребление сахара связано с увеличением риска диабета, ожирения, сердечно-сосудистых заболеваний и воспалений. Добавленный сахар часто скрыт в готовых продуктах, напитках и соусах.;Сократи количество сахара в чае, кофе и десертах. Читай состав продуктов и избегай тех, где сахар — один из первых ингредиентов.;-4
Пили кофе;Питание;Кофе повышает уровень бодрости и концентрации, а также содержит антиоксиданты. Однако в больших количествах может вызывать тревожность, бессонницу и повышать давление.;Ограничь потребление 1–2 чашками в день и избегай кофе во второй половине дня. Отдавай предпочтение чёрному кофе без сахара и добавок.;-1
Ели молочные продукты;Питание;Молочные продукты содержат кальций, белок и витамины группы B. Они важны для костей, зубов и мышечной ткани. При непереносимости лактозы могут вызывать вздутие или дискомфорт.;Выбирай натуральные продукты без добавок — йогурт, кефир, сыр. При чувствительности к лактозе ищи безлактозные варианты или пробуй ферментированные молочные продукты.;1
Ели промышленно-переработанные продукты;Питание;Переработанные продукты часто содержат добавленный сахар, соль, консерванты и трансжиры. Их избыток в рационе повышает риск хронических заболеваний и нарушает пищевые привычки.;Старайся минимизировать готовые блюда, фастфуд, снеки и полуфабрикаты. Отдавай предпочтение цельным и минимально обработанным продуктам.;-4
Ели ферментированные продукты;Питание;Ферментированные продукты (кефир, йогурт, квашеная капуста) содержат пробиотики, которые поддерживают здоровье кишечника и иммунной системы. Они также улучшают пищеварение и усвоение питательных веществ.;Включай в рацион 1–2 порции ферментированных продуктов ежедневно. Следи за натуральным составом и избегай продуктов с высоким содержанием сахара и добавок.;4
Ели орехи и/или семена;Питание;Орехи и семена — источник полезных жиров, белка, клетчатки и микроэлементов. Они снижают уровень холестерина, поддерживают работу сердца и способствуют насыщению.;Добавляй небольшую горсть орехов или ложку семян в рацион ежедневно. Отдавай предпочтение несолёным и необжаренным вариантам.;4
Делали перекусы;Питание;Перекусы между основными приёмами пищи могут поддерживать уровень энергии, но при неправильном подходе ведут к перееданию и избытку сахара. Важно выбирать питательные и сбалансированные варианты.;Если перекусываешь — выбирай орехи, фрукты, йогурт или овощи. Избегай снеков, сладостей и выпечки с пустыми калориями.;-1
Соблюдали интервальное голодание >14ч;Питание;Интервальное голодание — режим питания, при котором приёмы пищи ограничены временным окном (например, 8 часов еды и 16 часов без). Такой подход может улучшать чувствительность к инсулину, снижать уровень воспаления и способствовать контролю веса.;Начинай с мягкого режима — 12/12 или 14/10. Важно, чтобы в период еды питание оставалось сбалансированным. Консультируйся с врачом при наличии хронических заболеваний.;2
Принимали магний;Добавки и медикаменты;Магний участвует в более чем 300 ферментативных реакциях в организме. Он необходим для работы мышц, нервной системы и нормализации сна. Дефицит магния может вызывать судороги, раздражительность и повышенную тревожность.;Принимай магний при симптомах нехватки или по рекомендации врача. Лучше усваиваются органические формы: цитрат, глицинат. Не превышай дозировку — избыток может вызвать диарею.;2
Общались с друзьями;Социальное окружение;Общение с близкими друзьями поддерживает эмоциональное здоровье, снижает уровень стресса и даёт ощущение поддержки. Даже короткий контакт может улучшить настроение и укрепить чувство принадлежности.;Находи время для общения с друзьями — лично, в мессенджерах или по телефону. Главное — эмоциональная вовлечённость и открытость в разговоре.;4
Проводили время с семьей;Социальное окружение;Тёплые отношения с семьёй способствуют чувству стабильности, защищённости и уверенности в жизни. Совместное время укрепляет связи и помогает справляться с трудностями.;Планируй совместные ужины, прогулки или звонки с членами семьи. Даже короткие моменты внимания создают ощущение близости.;4
Проводили время с партнером;Социальное окружение;Близость и качественное время с партнёром укрепляют отношения, помогают справляться со стрессом и приносят чувство безопасности. Важно не только физическое присутствие, но и эмоциональная вовлечённость.;Выделяй время на разговоры, объятия, совместные дела без отвлечения на гаджеты. Эмоциональный контакт важнее формальных ритуалов.;4
Знакомились с новыми людьми и/или занимались нетворкингом;Социальное окружение;Расширение круга общения развивает уверенность, открывает новые возможности и может повышать мотивацию. Нетворкинг полезен как в личной жизни, так и в профессиональной сфере.;Ставь цель периодически знакомиться с новыми людьми: на мероприятиях, в сообществах или онлайн. Будь открыт и искренен — даже короткое знакомство может принести ценный опыт.;3
Медитировали;Ментальное состояние;Медитация помогает снизить уровень стресса, улучшить концентрацию и наладить контакт с собой. Регулярная практика способствует развитию осознанности и эмоциональной устойчивости.;Выделяй 5–10 минут в день на спокойную медитацию. Используй приложения, музыку или просто фокусируйся на дыхании и телесных ощущениях.;5
Занимались дыхательными практиками;Ментальное состояние;Глубокое дыхание снижает уровень кортизола, стабилизирует сердечный ритм и помогает справляться с тревожностью. Даже несколько минут дыхания могут изменить психоэмоциональное состояние.;Включи в день хотя бы 1–2 минуты осознанного дыхания — вдохи и выдохи через нос, медленные и равномерные. Используй перед сном, в стрессовых ситуациях или утром.;3
Занимались хобби;Ментальное состояние;Хобби наполняют день смыслом, помогают расслабиться и восстанавливаться. Это способ выразить себя, переключиться от рутины и испытать удовольствие от процесса.;Уделяй хотя бы 15–30 минут в день любимому занятию — чтению, музыке, рисованию или любому другому. Даже небольшое творчество делает день богаче.;4
Вели дневник;Ментальное состояние;Запись мыслей и чувств помогает осознать внутренние процессы, снизить тревожность и структурировать мышление. Дневник может стать инструментом самоподдержки и роста.;Записывай вечером коротко 2–3 мысли о дне: что порадовало, что было сложно, чему научился. Это занимает 5 минут, но даёт ценный внутренний эффект.;3
Делали массаж;Здоровье;Массаж помогает снять напряжение мышц, улучшить кровообращение и снизить уровень стресса. Он также может облегчать боли в спине и шее, повышая общее самочувствие.;Включай массаж в рутину — профессиональный или самостоятельный. Особенно полезен после физической активности или напряжённого дня.;3
Использовали Pomodoro или менеджер задач;Работа и учёба;Работа по техникам Pomodoro и использование трекеров задач помогает управлять временем, снижать прокрастинацию и увеличивать продуктивность. Это также создаёт чувство контроля и структуры.;Планируй день заранее и разбивай задачи на короткие интервалы с перерывами. Используй приложения или бумажные списки — главное, чтобы инструмент был удобным именно для тебя.;4
Перерабатывали;Работа и учёба;Сверхурочная нагрузка вредит восстановлению, усиливает стресс и может привести к выгоранию. Даже при высокой мотивации важно не забывать о балансе.;Если работаешь сверх меры — обязательно закладывай отдых. Наблюдай за уровнем усталости и не игнорируй сигналы перегрузки.;-3
